student_id,exam_score,submission_date
S0001,81.8,2024-06-23
S0002,81.9,2025-03-13
S0003,61.4,2025-03-11
S0004,75.1,2024-07-10
S0005,39.1,2024-04-29
S0006,69.5,2024-08-18
S0007,46.1,2024-06-17
S0008,69.2,2024-05-29
S0009,48.2,2025-02-14
S0010,73.4,2024-04-27
S0011,66.7,2025-02-09
S0012,99.2,2025-01-04
S0013,81.3,2024-09-03
S0014,71.3,2024-04-20
S0015,58.7,2024-09-22
S0016,69.9,2025-02-03
S0017,48.7,2024-05-20
S0018,53.8,2024-05-28
S0019,95.0,2025-01-23
S0020,50.8,2024-07-24
S0021,64.2,2024-08-10
S0022,60.5,2024-12-07
S0023,83.1,2024-08-19
S0024,68.7,2024-08-07
S0025,81.0,2024-12-02
S0026,73.6,2024-10-11
S0027,67.2,2025-03-11
S0028,68.6,2025-02-22
S0029,65.3,2024-08-04
S0030,65.0,2025-03-23
S0031,59.9,2024-11-26
S0032,67.0,2024-04-28
S0033,48.6,2024-07-01
S0034,76.4,2025-01-07
S0035,68.5,2024-04-18
S0036,76.5,2024-09-06
S0037,77.4,2024-05-18
S0038,106.0,2024-08-30
S0039,53.2,2024-07-15
S0040,109.0,2025-02-15
S0041,63.8,2025-02-08
S0042,73.9,2024-11-20
S0043,67.9,2024-06-13
S0044,53.6,2025-01-01
S0045,41.2,2025-03-18
S0046,73.7,2025-03-17
S0047,75.6,2024-05-27
S0048,102.5,2025-02-11
S0049,69.8,2024-10-11
S0050,62.9,2024-06-30
